sequence,education_type,locality,religion,how_often,generation,gender
msecw,general,town,yes,sev_a_year,1,f
wmsce,professional,town,yes,sev_a_year,1,f
wsemc,higher,town,yes,sev_a_year,0,f
eswpcb,professional,town,yes,never,1,m
ewmsc,professional,town,yes,min_once_a_month,0,f
sewmc,higher,town,yes,never,1,m
ewsmc,general,town,yes,never,0,m
swpcembd,higher,town,yes,never,1,m
ewmsc,general,town,yes,min_once_a_month,0,f
ewmsc,professional,town,yes,never,1,m
ewmcs,professional,town,yes,never,1,f
ewmcs,professional,town,yes,sev_a_year,0,f
ewsmc,professional,town,yes,never,1,m
emwcs,professional,town,yes,never,0,m
escw,general,town,yes,once_a_week,0,f
emswc,general,town,yes,min_once_a_month,0,f
wsce,higher,town,yes,sev_a_year,0,f
wsec,general,town,yes,min_once_a_month,0,f
sewpcm,professional,town,yes,sev_a_year,0,f
ewmsc,general,town,yes,never,1,m
wemcs,professional,town,yes,min_once_a_month,0,f
ewmcspd,professional,town,yes,sev_a_year,0,f
emscw,professional,town,yes,sev_a_year,1,f
smewc,professional,town,yes,min_once_a_month,1,f
wemscpb,general,town,yes,sev_a_year,1,f
ewsmc,general,town,yes,never,0,m
wemcs,higher,town,yes,sev_a_year,0,f
smcwe,higher,town,yes,min_once_a_month,1,m
ewmsc,general,town,yes,min_once_a_month,0,f
sewmc,professional,town,no,never,0,m
ewmsc,professional,town,yes,sev_a_year,0,f
wsepc,professional,town,yes,never,1,m
ewpmsc,higher,town,yes,never,0,m
wmsce,general,town,yes,min_once_a_month,0,f
wsemc,professional,town,yes,sev_a_year,0,f
wsmce,professional,town,yes,never,0,m
semcwd,higher,town,yes,sev_a_year,1,m
wmecs,higher,town,yes,sev_a_year,0,f
ewcms,general,town,yes,sev_a_year,1,f
wsmce,professional,town,yes,never,0,m
sewmc,professional,town,yes,sev_a_year,0,f
ewmcs,professional,town,yes,never,1,f
sewmc,professional,town,yes,sev_a_year,1,f
ewmcs,professional,town,yes,never,1,m
emwcs,professional,town,yes,sev_a_year,0,m
semcwdp,professional,town,yes,sev_a_year,1,f
sewmc,professional,town,yes,sev_a_year,0,f
ewmsc,professional,town,yes,never,0,f
sewmc,professional,town,yes,sev_a_year,1,f
sewmc,professional,town,yes,min_once_a_month,0,f
mswce,general,town,yes,never,0,f
swemc,higher,town,yes,sev_a_year,0,f
sewmc,professional,town,yes,sev_a_year,0,f
wmsce,professional,town,yes,sev_a_year,0,f
wmsec,general,town,yes,never,0,m
ewpmcs,professional,town,yes,sev_a_year,0,m
