work,separation,partner,marriage,children,gender,generation
19,19,20,21,29,1,6
22,28,,,,1,6
,,,,,0,0
14,17,,18,23,1,3
18,17,35,21,22,0,5
19,37,,20,21,1,2
19,21,,21,21,1,2
17,18,20,,31,0,5
21,20,,22,23,1,2
18,25,25,25,17,1,3
22,32,,33,37,0,4
,,,,,0,0
,,,,,1,0
21,,,,,1,4
,,,,,1,0
18,,,23,,1,3
16,16,,18,28,0,5
19,26,,26,26,0,4
23,25,,23,24,0,5
19,,,23,24,1,3
23,19,19,19,20,1,6
18,,,,19,1,6
23,,,22,23,0,4
,,,,,1,0
,,21,21,23,1,6
23,23,23,23,23,0,6
22,,,,,0,6
16,,19,19,20,0,3
20,27,25,25,27,0,4
16,23,,21,21,1,2
18,20,,,,0,0
23,19,,19,23,1,2
24,34,27,23,,1,4
22,16,,22,23,1,3
18,20,,20,20,1,5
18,18,19,22,20,0,2
16,21,,21,22,1,0
18,18,,26,27,1,5
20,26,,24,28,0,4
20,20,25,,,1,0
14,27,,24,26,0,2
,,,,,0,0
,,,,,0,0
16,16,,23,24,0,1
19,23,,23,24,0,3
16,,,,,1,0
18,20,,24,25,0,2
14,,,24,,0,6
,,,,,0,0
17,20,32,,34,0,2
22,23,23,24,24,1,3
27,23,,25,25,1,6
14,14,,18,18,1,2
23,,19,21,22,1,1
17,,24,26,,1,6
23,25,,27,27,0,2
20,16,16,16,17,0,5
,,,31,32,1,1
16,28,25,25,,1,2
16,29,,29,30,0,3
,,,30,33,1,2
21,19,18,18,19,1,5
19,24,,24,25,1,1
18,30,,26,27,1,2
21,,,25,32,1,2
19,,,19,19,0,5
16,28,,28,28,1,1
,16,20,20,22,1,3
20,20,24,25,26,1,4
20,,,,,0,0
29,,,38,38,0,1
15,28,45,49,27,0,4
18,18,,23,26,1,2
21,30,,26,27,0,5
16,16,,25,27,0,2
17,,,,,1,5
22,18,,,,1,1
18,24,,23,23,1,3
21,21,,,,0,6
,27,,27,27,1,1
16,,,25,28,1,3
23,,,,,0,0
18,24,,24,25,1,2
19,,,24,24,1,6
23,23,,19,20,1,6
18,33,,27,30,0,4
20,22,,22,23,1,0
,,,,,1,0
21,17,,29,30,1,4
,,,,,0,0
18,,,21,,1,2
18,,,,,1,0
19,,32,20,22,1,6
22,,,19,21,1,5
25,18,29,,,0,5
18,22,22,,,1,6
19,18,,25,,0,5
24,19,,20,21,0,4
,,,,,0,0
,20,,20,,1,6
20,18,,20,21,0,4
23,17,,25,28,1,2
20,,,22,,1,3
20,19,,21,,0,5
,27,,31,32,1,2
21,,,,,1,0
22,34,23,23,24,1,6
20,20,,22,,0,5
22,19,,22,26,1,3
21,,32,35,33,0,5
,,,20,21,1,6
24,24,,,,0,5
22,,,22,,0,1
20,24,,24,,0,0
24,25,18,18,,1,6
13,22,,22,28,1,2
19,19,,21,22,0,6
16,20,,22,23,0,4
19,20,20,24,25,0,5
17,,,29,19,1,5
20,,,22,23,1,6
19,19,,,22,1,2
17,,,21,22,1,6
21,21,38,,,0,5
19,19,23,,,0,6
,,,28,29,0,5
,32,,,,1,6
24,24,,,,1,1
22,,,,,0,5
20,,,17,18,1,5
17,,,20,,1,2
,,,,,0,0
,,,,,1,6
20,20,,18,19,0,5
,,,,,0,0
27,27,,28,29,0,5
,,,,,1,0
20,20,,23,24,0,4
20,20,,22,24,0,2
,17,,17,21,1,6
20,20,,21,22,0,5
24,25,,25,26,1,3
22,,,22,23,1,2
23,23,,19,19,1,5
18,,,22,23,1,3
23,,,,,1,4
18,30,,23,23,1,5
22,23,,23,24,0,4
,,,,,1,0
,,,,,0,0
,16,,26,27,0,2
18,17,,24,26,0,3
14,14,,21,,1,2
21,30,,30,32,1,4
21,24,,24,25,0,5
18,36,19,20,21,1,4
17,17,22,27,,1,4
,18,19,,,0,0
19,19,19,21,21,1,0
18,18,19,21,21,1,5
32,32,35,36,,0,4
18,20,,20,21,1,4
18,17,19,,,0,6
19,20,20,,23,1,6
16,19,,19,,1,3
,,,,,1,0
31,33,52,,24,1,3
,,,23,24,1,5
17,26,,26,27,0,1
21,21,33,31,36,1,1
21,25,,33,19,1,4
,,25,25,27,1,2
,,,,,0,0
18,34,28,30,33,0,6
20,17,18,,,1,6
16,18,,21,25,1,5
18,,,,,1,0
19,19,,27,30,1,2
21,,,21,23,1,5
,,,17,17,1,6
20,22,,22,17,0,6
20,21,21,23,25,1,5
23,25,,23,32,1,2
19,24,24,24,26,1,5
17,16,20,,30,1,5
17,24,,25,26,0,6
17,15,15,,,1,0
20,19,,26,27,0,4
22,23,23,25,26,0,6
14,14,,17,17,1,2
26,,,34,30,0,6
19,,23,23,24,0,0
,,,25,27,1,2
,,,46,48,1,2
,,,21,22,1,0
17,,,,23,0,6
,,,22,30,0,4
16,,22,23,24,0,6
24,28,28,30,32,0,6
17,20,,19,20,1,5
15,20,,20,22,1,6
13,14,,33,37,0,2
