gender;education type;locality;religion;how_often;generation;first_event
f;general;town;yes;sev_a_year;9g;marriage
f;professional;town;yes;sev_a_year;10g;work
f;higher;town;yes;sev_a_year;3g;work
m;professional;town;yes;never;9g;education
f;professional;town;yes;min_once_a_month;3g;work
m;higher;town;yes;never;7g;sep
m;general;town;yes;never;2g;work
m;higher;town;yes;never;8g;sep
f;general;town;yes;min_once_a_month;1g;education
m;professional;town;yes;never;8g;education
f;professional;town;yes;never;7g;education
f;professional;town;yes;sev_a_year;6g;education
m;professional;town;yes;never;8g;education
m;professional;town;yes;never;4g;education
f;general;town;yes;once_a_week;3g;education
f;general;town;yes;min_once_a_month;4g;education
f;higher;town;yes;sev_a_year;3g;work
f;general;town;yes;min_once_a_month;4g;work
f;professional;town;yes;sev_a_year;2g;sep
m;general;town;yes;never;8g;education
f;professional;town;yes;min_once_a_month;3g;work
f;professional;town;yes;sev_a_year;5g;education
f;professional;town;yes;sev_a_year;10g;education
f;professional;town;yes;min_once_a_month;7g;sep
f;general;town;yes;sev_a_year;7g;work
m;general;town;yes;never;4g;education
f;higher;town;yes;sev_a_year;6g;work
m;higher;town;yes;min_once_a_month;8g;sep
f;general;town;yes;min_once_a_month;3g;education
m;professional;town;no;never;5g;sep
f;professional;town;yes;sev_a_year;5g;education
m;professional;town;yes;never;9g;work
m;higher;town;yes;never;2g;education
f;general;town;yes;min_once_a_month;2g;work
f;professional;town;yes;sev_a_year;6g;work
m;professional;town;yes;never;3g;work
m;higher;town;yes;sev_a_year;9g;sep
f;higher;town;yes;sev_a_year;3g;work
f;general;town;yes;sev_a_year;7g;education
m;professional;town;yes;never;5g;work
f;professional;town;yes;sev_a_year;4g;sep
f;professional;town;yes;never;7g;education
f;professional;town;yes;sev_a_year;8g;sep
m;professional;town;yes;never;7g;work
m;professional;town;yes;sev_a_year;6g;education
f;professional;town;yes;sev_a_year;7g;sep
f;professional;town;yes;sev_a_year;6g;sep
f;professional;town;yes;never;5g;education
f;professional;town;yes;sev_a_year;8g;sep
f;professional;town;yes;min_once_a_month;5g;sep
f;general;town;yes;never;2g;marriage
f;higher;town;yes;sev_a_year;4g;sep
f;professional;town;yes;sev_a_year;5g;sep
f;professional;town;yes;sev_a_year;3g;work
m;general;town;yes;never;4g;work
m;professional;town;yes;sev_a_year;3g;work
f;professional;town;yes;sev_a_year;3g;education
f;general;town;yes;sev_a_year;6g;work
f;professional;town;yes;sev_a_year;6g;education
m;professional;town;yes;never;6g;work
m;professional;town;yes;sev_a_year;4g;work
f;higher;town;yes;sev_a_year;8g;education
f;general;town;yes;sev_a_year;7g;work
f;professional;town;yes;sev_a_year;6g;sep
f;professional;town;yes;sev_a_year;10g;education
m;higher;town;yes;sev_a_year;9g;sep
m;professional;town;yes;never;6g;education
m;professional;village;no;never;8g;sep
f;professional;village;yes;sev_a_year;2g;education
f;professional;village;yes;never;9g;marriage
f;professional;village;yes;never;8g;education
m;general;village;yes;never;2g;work
m;professional;village;yes;never;1g;sep
f;professional;village;yes;never;11g;sep
f;professional;village;yes;sev_a_year;4g;sep
f;professional;village;yes;sev_a_year;1g;work
f;professional;village;yes;sev_a_year;2g;work
f;professional;village;yes;never;8g;sep
m;professional;village;yes;never;6g;sep
m;higher;village;yes;never;4g;marriage
f;general;village;yes;sev_a_year;1g;education
f;professional;village;yes;sev_a_year;11g;marriage
f;general;village;yes;sev_a_year;5g;education
f;professional;village;yes;sev_a_year;7g;marriage
f;higher;village;yes;sev_a_year;5g;sep
f;professional;village;yes;sev_a_year;6g;marriage
m;professional;village;yes;never;5g;education
f;general;village;yes;once_a_week;1g;education
f;general;village;yes;sev_a_year;5g;education
m;professional;village;yes;never;11g;education
f;professional;village;yes;never;9g;education
f;professional;village;yes;sev_a_year;6g;sep
f;general;village;yes;never;1g;education
f;general;village;yes;sev_a_year;1g;work
f;professional;village;yes;sev_a_year;4g;education
f;professional;village;yes;sev_a_year;8g;work
f;professional;village;yes;never;9g;sep
f;professional;village;yes;never;2g;work
f;general;village;yes;sev_a_year;5g;education
f;general;village;yes;sev_a_year;2g;education
m;professional;village;yes;never;6g;work
f;professional;village;yes;never;5g;work
m;higher;village;yes;never;4g;sep
f;professional;village;yes;never;9g;education
m;professional;village;yes;never;8g;education
f;professional;village;yes;never;9g;education
m;professional;village;yes;never;6g;sep
m;professional;village;yes;never;6g;work
f;general;village;yes;sev_a_year;1g;education
f;general;village;yes;sev_a_year;1g;education
f;general;village;yes;sev_a_year;1g;education
m;professional;village;yes;never;8g;work
m;general;village;yes;never;1g;work
m;professional;village;yes;never;5g;education
f;general;village;yes;sev_a_year;2g;work
f;general;village;yes;sev_a_year;5g;work
m;general;village;yes;never;1g;education
m;general;village;yes;sev_a_year;3g;education
m;professional;village;yes;never;3g;education
f;higher;village;yes;never;9g;education
f;general;village;yes;sev_a_year;3g;education
m;professional;village;yes;never;2g;sep
f;professional;village;yes;never;6g;sep
f;general;village;yes;sev_a_year;3g;education
m;professional;village;yes;never;4g;education
f;general;village;yes;never;8g;education
m;general;village;yes;never;7g;partner
f;professional;village;yes;sev_a_year;7g;sep
f;general;village;yes;sev_a_year;3g;education
m;professional;village;yes;sev_a_year;9g;work
m;professional;village;yes;never;5g;work
m;professional;village;yes;never;6g;education
f;general;village;yes;sev_a_year;1g;education
f;general;village;yes;sev_a_year;1g;work
f;general;village;yes;sev_a_year;1g;education
m;professional;village;yes;never;5g;work
f;professional;village;yes;never;5g;sep
f;professional;village;yes;sev_a_year;5g;sep
f;professional;village;yes;never;9g;education
f;general;village;yes;sev_a_year;2g;education
f;professional;village;yes;sev_a_year;8g;sep
f;professional;village;yes;never;10g;education
m;professional;village;yes;never;4g;education
f;professional;village;yes;never;6g;education
m;professional;village;yes;never;5g;work
m;professional;village;yes;never;6g;education
f;general;village;yes;sev_a_year;7g;marriage
f;higher;village;yes;sev_a_year;9g;sep
f;professional;village;yes;sev_a_year;1g;work
f;professional;village;yes;min_once_a_month;6g;work
f;higher;village;yes;sev_a_year;7g;sep
f;professional;village;yes;sev_a_year;7g;education
f;professional;village;yes;sev_a_year;5g;sep
f;higher;village;yes;sev_a_year;8g;education
m;professional;village;yes;never;6g;education
f;professional;village;yes;sev_a_year;1g;education
