gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
f;general;town;yes;sev_a_year;9g;0;1;0;0;1;1;0;1;;216;;;227;216;;219;work
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;1;0;;279;;;284;279;205;;education
f;higher;town;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;;338;;;;238;236;283;child
m;professional;town;yes;never;9g;1;0;0;0;1;1;1;1;272;;;;287;218;250;176;br
f;professional;town;yes;min_once_a_month;3g;0;1;0;0;0;1;1;1;;284;;;;285;278;278;child
m;higher;town;yes;never;7g;0;1;0;0;0;1;1;1;;336;;;;207;317;276;child
m;general;town;yes;never;2g;0;1;0;0;0;1;1;1;;353;;;;223;221;221;child
m;higher;town;yes;never;8g;1;1;1;0;1;1;1;1;289;379;384;;323;212;277;361;div
f;general;town;yes;min_once_a_month;1g;0;1;0;0;0;1;1;1;;286;;;;286;230;160;child
m;professional;town;yes;never;8g;0;1;0;0;0;1;1;1;;277;;;;278;241;224;child
f;professional;town;yes;never;7g;0;1;0;0;1;0;1;1;;254;;;267;;236;235;sep
f;professional;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;307;;;318;;253;246;sep
m;professional;town;yes;never;8g;0;1;0;0;0;1;1;1;;255;;;;241;208;207;child
m;professional;town;yes;never;4g;0;1;0;0;1;0;1;1;;237;;;288;;266;232;sep
f;general;town;yes;once_a_week;3g;0;0;0;0;1;1;0;1;;;;;307;291;;243;work
f;general;town;yes;min_once_a_month;4g;0;1;0;0;0;1;1;1;;213;;;;213;216;207;child
f;higher;town;yes;sev_a_year;3g;0;0;0;0;1;1;1;0;;;;;269;264;244;;education
f;general;town;yes;min_once_a_month;4g;0;0;0;0;0;1;1;1;;;;;;188;188;221;child
f;professional;town;yes;sev_a_year;2g;1;0;0;0;1;1;1;1;266;;;;270;214;260;260;marriage
m;general;town;yes;never;8g;0;1;0;0;0;1;1;1;;253;;;;254;243;215;child
f;professional;town;yes;min_once_a_month;3g;0;1;0;0;1;0;1;1;;258;;;269;;244;247;sep
f;professional;town;yes;sev_a_year;5g;1;1;0;0;1;1;1;1;490;247;;;256;425;218;217;div
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;0;1;;248;;;251;248;;246;work
f;professional;town;yes;min_once_a_month;7g;0;1;0;0;0;1;1;1;;234;;;;206;239;235;child
f;general;town;yes;sev_a_year;7g;1;1;0;0;1;1;1;1;281;242;;;258;242;201;211;br
m;general;town;yes;never;4g;0;1;0;0;0;1;1;1;;259;;;;223;213;206;child
f;higher;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;319;;;325;;231;305;sep
m;higher;town;yes;min_once_a_month;8g;0;1;0;0;1;1;1;0;;253;;;263;209;278;;education
f;general;town;yes;min_once_a_month;3g;0;1;0;0;0;1;1;1;;235;;;;235;184;160;child
m;professional;town;no;never;5g;0;1;0;0;0;1;1;1;;338;;;;215;254;234;child
f;professional;town;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;317;;;;317;244;242;child
m;professional;town;yes;never;9g;1;0;0;0;0;1;1;1;311;;;;;222;213;249;child
m;higher;town;yes;never;2g;1;1;0;0;0;1;1;1;339;348;;;;348;284;237;child
f;general;town;yes;min_once_a_month;2g;0;1;0;0;1;1;1;0;;206;;;224;206;187;;education
f;professional;town;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;228;;;;183;182;205;child
m;professional;town;yes;never;3g;0;1;0;0;1;1;1;0;;363;;;371;215;177;;education
m;higher;town;yes;sev_a_year;9g;0;1;0;0;1;1;1;1;;276;;;282;209;322;271;div
f;higher;town;yes;sev_a_year;3g;0;1;0;0;1;0;1;1;;301;;;308;;215;308;sep
f;general;town;yes;sev_a_year;7g;0;0;0;0;1;0;1;1;;;;;250;;228;213;sep
m;professional;town;yes;never;5g;0;1;0;0;1;1;1;0;;253;;;268;215;211;;education
f;professional;town;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;;285;;;;202;253;236;child
f;professional;town;yes;never;7g;0;1;0;0;1;0;1;1;;293;;;303;;215;213;sep
f;professional;town;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;222;;;;203;214;213;child
m;professional;town;yes;never;7g;0;1;0;0;1;0;1;1;;270;;;278;;231;231;sep
m;professional;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;272;;;293;;274;248;sep
f;professional;town;yes;sev_a_year;7g;0;1;0;1;1;1;1;1;;235;;436;244;163;290;220;partner
f;professional;town;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;;231;;;;210;219;219;child
f;professional;town;yes;never;5g;0;1;0;0;0;1;1;1;;254;;;;254;234;209;child
f;professional;town;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;242;;;;209;232;231;child
f;professional;town;yes;min_once_a_month;5g;0;1;0;0;0;1;1;1;;295;;;;198;218;217;child
f;general;town;yes;never;2g;0;1;0;0;1;1;1;0;;216;;;225;216;220;;education
f;higher;town;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;;269;;;;206;207;264;child
f;professional;town;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;;234;;;;183;217;216;child
f;professional;town;yes;sev_a_year;3g;0;1;0;0;1;1;1;0;;228;;;257;228;193;;education
m;general;town;yes;never;4g;0;1;0;0;0;1;1;1;;328;;;;328;254;331;child
m;professional;town;yes;sev_a_year;3g;1;1;0;0;1;0;1;1;326;336;;;336;;221;221;sep
f;professional;town;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;;276;;;;265;254;252;child
f;general;town;yes;sev_a_year;6g;0;1;0;1;1;1;1;1;;225;;321;239;225;188;235;partner
f;professional;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;;277;;;303;;220;219;sep
m;professional;town;yes;never;6g;0;1;0;0;1;1;1;0;;250;;;257;259;241;;education
m;professional;town;yes;sev_a_year;4g;0;1;0;0;1;1;1;0;;276;;;283;276;215;;education
f;higher;town;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;;302;;;;302;278;276;child
f;general;town;yes;sev_a_year;7g;0;1;0;1;1;1;1;1;;229;;319;234;189;189;224;partner
f;professional;town;yes;sev_a_year;6g;0;1;0;0;1;1;1;0;;242;;;266;209;231;;education
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;0;1;;237;;;244;237;;223;work
m;higher;town;yes;sev_a_year;9g;0;1;0;0;1;1;1;0;;283;;;303;210;212;;education
m;professional;town;yes;never;6g;0;1;0;0;1;0;1;1;;267;;;277;;246;218;sep
m;professional;village;no;never;8g;0;0;0;0;0;1;1;1;;;;;;216;245;220;child
f;professional;village;yes;sev_a_year;2g;1;1;0;0;1;1;1;1;707;291;;;305;291;249;247;br
f;professional;village;yes;never;9g;0;1;0;0;1;1;0;1;;215;;;219;215;;217;work
f;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;254;;;;254;227;225;child
m;general;village;yes;never;2g;0;1;0;0;0;1;1;1;;284;;;;251;198;281;child
m;professional;village;yes;never;1g;1;1;0;0;1;1;1;0;293;302;;;302;218;442;;education
f;professional;village;yes;never;11g;0;0;0;0;0;1;1;1;;;;;;210;232;232;child
f;professional;village;yes;sev_a_year;4g;0;0;0;0;1;1;0;1;;;;;213;182;;206;work
f;professional;village;yes;sev_a_year;1g;0;1;0;0;1;1;1;0;;286;;;303;286;231;;education
f;professional;village;yes;sev_a_year;2g;1;0;0;0;1;1;1;1;355;;;;365;237;233;348;marriage
f;professional;village;yes;never;8g;0;1;0;0;0;1;1;1;;260;;;;211;242;241;child
m;professional;village;yes;never;6g;0;1;0;0;1;1;0;1;;240;;;243;201;;246;work
m;higher;village;yes;never;4g;0;1;0;0;1;0;0;1;;282;;;293;;;291;sep
f;general;village;yes;sev_a_year;1g;1;1;0;0;1;1;1;1;570;215;;;199;215;221;151;br
f;professional;village;yes;sev_a_year;11g;0;1;0;0;1;0;0;1;;223;;;231;;;226;work
