gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;last_ev
f;general;town;yes;sev_a_year;9g;;216;;;227;216;;219;>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;work
f;professional;town;yes;sev_a_year;10g;;279;;;284;279;205;;>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;higher;town;yes;sev_a_year;3g;;338;;;;238;236;283;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;child
m;professional;town;yes;never;9g;272;;;;287;218;250;176;<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;>;<;<;br
f;professional;town;yes;min_once_a_month;3g;;284;;;;285;278;278;>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;child
m;higher;town;yes;never;7g;;336;;;;207;317;276;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;child
m;general;town;yes;never;2g;;353;;;;223;221;221;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;child
m;higher;town;yes;never;8g;289;379;384;;323;212;277;361;<;<;<;<;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;div
f;general;town;yes;min_once_a_month;1g;;286;;;;286;230;160;>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;town;yes;never;8g;;277;;;;278;241;224;>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;town;yes;never;7g;;254;;;267;;236;235;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;professional;town;yes;sev_a_year;6g;;307;;;318;;253;246;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
m;professional;town;yes;never;8g;;255;;;;241;208;207;>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
m;professional;town;yes;never;4g;;237;;;288;;266;232;>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;sep
f;general;town;yes;once_a_week;3g;;;;;307;291;;243;n;n;n;>;n;>;>;n;n;>;n;>;>;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;work
f;general;town;yes;min_once_a_month;4g;;213;;;;213;216;207;>;n;n;>;>;>;n;<;<;>;<;=;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;child
f;higher;town;yes;sev_a_year;3g;;;;;269;264;244;;n;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;education
f;general;town;yes;min_once_a_month;4g;;;;;;188;188;221;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;child
f;professional;town;yes;sev_a_year;2g;266;;;;270;214;260;260;<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;marriage
m;general;town;yes;never;8g;;253;;;;254;243;215;>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;child
f;professional;town;yes;min_once_a_month;3g;;258;;;269;;244;247;>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;sep
f;professional;town;yes;sev_a_year;5g;490;247;;;256;425;218;217;>;<;<;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;div
