partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;gender;education type;locality;religion;how often;generation;last_ev
>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;general;town;yes;sev_a_year;9g;work
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;professional;town;yes;sev_a_year;10g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;f;higher;town;yes;sev_a_year;3g;child
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;>;<;<;m;professional;town;yes;never;9g;br
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;f;professional;town;yes;min_once_a_month;3g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;higher;town;yes;never;7g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;<;<;<;<;<;m;general;town;yes;never;2g;child
<;<;<;<;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;m;higher;town;yes;never;8g;div
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;town;yes;min_once_a_month;1g;child
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;town;yes;never;8g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;town;yes;never;7g;sep
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;town;yes;sev_a_year;6g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;town;yes;never;8g;child
>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;town;yes;never;4g;sep
n;n;n;>;n;>;>;n;n;>;n;>;>;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;f;general;town;yes;once_a_week;3g;work
>;n;n;>;>;>;n;<;<;>;<;=;<;n;>;>;>;n;>;>;>;n;<;<;<;>;<;<;f;general;town;yes;min_once_a_month;4g;child
n;n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;higher;town;yes;sev_a_year;3g;education
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;=;<;<;f;general;town;yes;min_once_a_month;4g;child
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;f;professional;town;yes;sev_a_year;2g;marriage
>;n;n;>;>;>;n;<;<;>;>;<;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;town;yes;never;8g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;professional;town;yes;min_once_a_month;3g;sep
>;<;<;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;f;professional;town;yes;sev_a_year;5g;div
>;n;n;>;n;>;>;<;<;>;<;=;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;f;professional;town;yes;sev_a_year;10g;work
>;n;n;>;>;>;n;<;<;<;<;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;town;yes;min_once_a_month;7g;child
>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;<;f;general;town;yes;sev_a_year;7g;br
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;general;town;yes;never;4g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;>;<;<;<;<;>;f;higher;town;yes;sev_a_year;6g;sep
>;n;n;n;>;>;>;<;<;<;<;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;m;higher;town;yes;min_once_a_month;8g;education
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;town;yes;min_once_a_month;3g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;town;no;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;town;yes;sev_a_year;5g;child
<;<;<;>;>;>;<;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;professional;town;yes;never;9g;child
<;<;<;>;>;<;<;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;higher;town;yes;never;2g;child
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;general;town;yes;min_once_a_month;2g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;f;professional;town;yes;sev_a_year;6g;child
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;town;yes;never;3g;education
>;n;n;>;>;>;>;<;<;>;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;m;higher;town;yes;sev_a_year;9g;div
>;n;n;>;>;n;>;<;<;<;>;<;<;n;>;>;n;>;>;>;n;>;>;<;=;<;<;>;f;higher;town;yes;sev_a_year;3g;sep
n;n;n;>;>;n;>;n;n;>;>;n;>;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;general;town;yes;sev_a_year;7g;sep
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;town;yes;never;5g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;town;yes;sev_a_year;4g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;town;yes;never;7g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;town;yes;sev_a_year;8g;child
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;m;professional;town;yes;never;7g;sep
>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;town;yes;sev_a_year;6g;sep
>;n;>;>;>;>;>;<;<;>;<;>;<;>;>;>;>;>;>;>;>;>;<;>;<;>;>;<;f;professional;town;yes;sev_a_year;7g;partner
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;f;professional;town;yes;sev_a_year;6g;child
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;town;yes;never;5g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;town;yes;sev_a_year;8g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;town;yes;min_once_a_month;5g;child
>;n;n;n;>;>;>;<;<;<;<;=;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;f;general;town;yes;never;2g;education
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;>;<;<;f;higher;town;yes;sev_a_year;4g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;town;yes;sev_a_year;5g;child
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;professional;town;yes;sev_a_year;3g;education
>;n;n;>;>;>;n;<;<;<;>;=;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;general;town;yes;never;4g;child
<;<;<;>;>;<;<;<;<;>;>;<;=;n;>;>;n;>;>;>;n;>;=;<;<;<;<;>;m;professional;town;yes;sev_a_year;3g;sep
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;town;yes;sev_a_year;3g;child
>;n;>;>;>;>;>;<;<;<;>;=;<;>;>;>;>;>;>;>;>;>;>;>;<;<;<;<;f;general;town;yes;sev_a_year;6g;partner
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;f;professional;town;yes;sev_a_year;6g;sep
>;n;n;n;>;>;>;<;<;<;>;<;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;>;m;professional;town;yes;never;6g;education
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;m;professional;town;yes;sev_a_year;4g;education
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;higher;town;yes;sev_a_year;8g;child
>;n;>;>;>;>;>;<;<;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;<;=;<;<;f;general;town;yes;sev_a_year;7g;partner
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;f;professional;town;yes;sev_a_year;6g;education
>;n;n;>;n;>;>;<;<;>;<;=;<;n;>;n;>;>;>;n;>;>;<;<;<;>;>;<;f;professional;town;yes;sev_a_year;10g;work
>;n;n;n;>;>;>;<;<;<;>;>;<;n;n;>;>;>;n;>;>;>;>;>;>;>;<;<;m;higher;town;yes;sev_a_year;9g;education
>;n;n;>;>;n;>;<;<;>;>;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;town;yes;never;6g;sep
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;m;professional;village;no;never;8g;child
>;<;<;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;village;yes;sev_a_year;2g;br
>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;professional;village;yes;never;9g;work
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;professional;village;yes;never;8g;child
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;>;>;<;<;<;<;m;general;village;yes;never;2g;child
<;<;<;<;<;>;<;<;<;<;<;>;=;n;n;>;>;>;n;>;>;>;>;>;>;>;>;<;m;professional;village;yes;never;1g;education
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;=;>;<;>;<;<;f;professional;village;yes;never;11g;child
n;n;n;>;n;>;>;n;n;>;n;>;>;n;>;n;>;>;>;n;>;>;<;>;<;>;>;<;f;professional;village;yes;sev_a_year;4g;work
>;n;n;n;>;>;>;<;<;<;>;=;<;n;n;>;>;>;n;>;>;>;>;>;>;<;<;<;f;professional;village;yes;sev_a_year;1g;education
<;<;<;>;>;>;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;f;professional;village;yes;sev_a_year;2g;marriage
>;n;n;>;>;>;n;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;>;<;>;<;<;f;professional;village;yes;never;8g;child
>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;m;professional;village;yes;never;6g;work
>;n;n;>;n;n;>;<;<;<;<;<;<;n;>;n;n;>;>;n;n;>;<;<;<;n;>;>;m;higher;village;yes;never;4g;sep
>;<;<;>;>;>;>;<;<;>;<;=;>;n;>;>;>;>;>;>;>;>;<;<;<;>;>;>;f;general;village;yes;sev_a_year;1g;br
>;n;n;>;n;n;>;<;<;<;<;<;<;n;>;n;n;>;>;n;n;>;<;<;<;n;>;>;f;professional;village;yes;sev_a_year;11g;work
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;sev_a_year;5g;child
>;n;n;>;n;>;>;<;<;<;<;=;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;f;professional;village;yes;sev_a_year;7g;work
>;n;n;>;n;>;>;<;<;<;<;>;<;n;>;n;>;>;>;n;>;>;<;>;>;>;>;<;f;higher;village;yes;sev_a_year;5g;work
>;n;n;>;>;n;>;<;<;<;<;<;<;n;>;>;n;>;>;>;n;>;>;<;>;<;>;>;f;professional;village;yes;sev_a_year;6g;sep
>;n;n;>;>;n;>;<;<;>;<;<;<;n;>;>;n;>;>;>;n;>;<;<;<;<;<;>;m;professional;village;yes;never;5g;sep
>;n;n;>;>;>;n;<;<;>;>;=;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;once_a_week;1g;child
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;general;village;yes;sev_a_year;5g;div
<;<;<;>;>;=;<;<;<;>;>;>;<;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;m;professional;village;yes;never;11g;child
<;<;<;>;>;<;<;<;<;>;>;=;<;<;>;>;>;>;>;>;>;>;<;<;<;<;<;<;f;professional;village;yes;never;9g;div
>;<;>;>;>;>;>;<;<;<;=;>;<;>;>;>;>;>;>;>;>;>;>;>;<;>;<;<;f;professional;village;yes;sev_a_year;6g;br
n;n;n;>;>;>;n;n;n;>;>;>;n;n;>;>;>;n;>;>;>;n;<;<;<;<;<;<;f;general;village;yes;never;1g;child
<;<;<;>;>;=;<;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;f;general;village;yes;sev_a_year;1g;br
>;<;<;>;>;<;>;<;<;>;<;<;<;<;>;>;<;>;>;>;n;>;<;<;<;<;>;>;f;professional;village;yes;sev_a_year;4g;sep
