gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;last_ev
f;general;town;yes;sev_a_year;9g;0;1;0;0;1;1;0;1;work
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;1;0;education
f;higher;town;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;never;9g;1;0;0;0;1;1;1;1;br
f;professional;town;yes;min_once_a_month;3g;0;1;0;0;0;1;1;1;child
m;higher;town;yes;never;7g;0;1;0;0;0;1;1;1;child
m;general;town;yes;never;2g;0;1;0;0;0;1;1;1;child
m;higher;town;yes;never;8g;1;1;1;0;1;1;1;1;div
f;general;town;yes;min_once_a_month;1g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;never;8g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;never;7g;0;1;0;0;1;0;1;1;sep
f;professional;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;sep
m;professional;town;yes;never;8g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;never;4g;0;1;0;0;1;0;1;1;sep
f;general;town;yes;once_a_week;3g;0;0;0;0;1;1;0;1;work
f;general;town;yes;min_once_a_month;4g;0;1;0;0;0;1;1;1;child
f;higher;town;yes;sev_a_year;3g;0;0;0;0;1;1;1;0;education
f;general;town;yes;min_once_a_month;4g;0;0;0;0;0;1;1;1;child
f;professional;town;yes;sev_a_year;2g;1;0;0;0;1;1;1;1;marriage
m;general;town;yes;never;8g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;min_once_a_month;3g;0;1;0;0;1;0;1;1;sep
f;professional;town;yes;sev_a_year;5g;1;1;0;0;1;1;1;1;div
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;0;1;work
f;professional;town;yes;min_once_a_month;7g;0;1;0;0;0;1;1;1;child
f;general;town;yes;sev_a_year;7g;1;1;0;0;1;1;1;1;br
m;general;town;yes;never;4g;0;1;0;0;0;1;1;1;child
f;higher;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;sep
m;higher;town;yes;min_once_a_month;8g;0;1;0;0;1;1;1;0;education
f;general;town;yes;min_once_a_month;3g;0;1;0;0;0;1;1;1;child
m;professional;town;no;never;5g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;never;9g;1;0;0;0;0;1;1;1;child
m;higher;town;yes;never;2g;1;1;0;0;0;1;1;1;child
f;general;town;yes;min_once_a_month;2g;0;1;0;0;1;1;1;0;education
f;professional;town;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;never;3g;0;1;0;0;1;1;1;0;education
m;higher;town;yes;sev_a_year;9g;0;1;0;0;1;1;1;1;div
f;higher;town;yes;sev_a_year;3g;0;1;0;0;1;0;1;1;sep
f;general;town;yes;sev_a_year;7g;0;0;0;0;1;0;1;1;sep
m;professional;town;yes;never;5g;0;1;0;0;1;1;1;0;education
f;professional;town;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;never;7g;0;1;0;0;1;0;1;1;sep
f;professional;town;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;never;7g;0;1;0;0;1;0;1;1;sep
m;professional;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;sep
f;professional;town;yes;sev_a_year;7g;0;1;0;1;1;1;1;1;partner
f;professional;town;yes;sev_a_year;6g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;never;5g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;min_once_a_month;5g;0;1;0;0;0;1;1;1;child
f;general;town;yes;never;2g;0;1;0;0;1;1;1;0;education
f;higher;town;yes;sev_a_year;4g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;sev_a_year;5g;0;1;0;0;0;1;1;1;child
f;professional;town;yes;sev_a_year;3g;0;1;0;0;1;1;1;0;education
m;general;town;yes;never;4g;0;1;0;0;0;1;1;1;child
m;professional;town;yes;sev_a_year;3g;1;1;0;0;1;0;1;1;sep
f;professional;town;yes;sev_a_year;3g;0;1;0;0;0;1;1;1;child
f;general;town;yes;sev_a_year;6g;0;1;0;1;1;1;1;1;partner
f;professional;town;yes;sev_a_year;6g;0;1;0;0;1;0;1;1;sep
m;professional;town;yes;never;6g;0;1;0;0;1;1;1;0;education
m;professional;town;yes;sev_a_year;4g;0;1;0;0;1;1;1;0;education
f;higher;town;yes;sev_a_year;8g;0;1;0;0;0;1;1;1;child
f;general;town;yes;sev_a_year;7g;0;1;0;1;1;1;1;1;partner
f;professional;town;yes;sev_a_year;6g;0;1;0;0;1;1;1;0;education
f;professional;town;yes;sev_a_year;10g;0;1;0;0;1;1;0;1;work
m;higher;town;yes;sev_a_year;9g;0;1;0;0;1;1;1;0;education
m;professional;town;yes;never;6g;0;1;0;0;1;0;1;1;sep
m;professional;village;no;never;8g;0;0;0;0;0;1;1;1;child
