gender;education type;locality;religion;how_often;generation;partner;marriage;break;divorce;child;sep_from_par;work;education;last_event
f;general;town;yes;sev_a_year;9g;;216;;;227;216;;219;work
f;professional;town;yes;sev_a_year;10g;;279;;;284;279;205;;education
f;higher;town;yes;sev_a_year;3g;;338;;;;238;236;283;child
m;professional;town;yes;never;9g;272;;;;287;218;250;176;br
f;professional;town;yes;min_once_a_month;3g;;284;;;;285;278;278;child
m;higher;town;yes;never;7g;;336;;;;207;317;276;child
m;general;town;yes;never;2g;;353;;;;223;221;221;child
m;higher;town;yes;never;8g;289;379;384;;323;212;277;361;div
f;general;town;yes;min_once_a_month;1g;;286;;;;286;230;160;child
m;professional;town;yes;never;8g;;277;;;;278;241;224;child
f;professional;town;yes;never;7g;;254;;;267;;236;235;sep
f;professional;town;yes;sev_a_year;6g;;307;;;318;;253;246;sep
m;professional;town;yes;never;8g;;255;;;;241;208;207;child
m;professional;town;yes;never;4g;;237;;;288;;266;232;sep
f;general;town;yes;once_a_week;3g;;;;;307;291;;243;work
f;general;town;yes;min_once_a_month;4g;;213;;;;213;216;207;child
f;higher;town;yes;sev_a_year;3g;;;;;269;264;244;;education
f;general;town;yes;min_once_a_month;4g;;;;;;188;188;221;child
f;professional;town;yes;sev_a_year;2g;266;;;;270;214;260;260;marriage
m;general;town;yes;never;8g;;253;;;;254;243;215;child
f;professional;town;yes;min_once_a_month;3g;;258;;;269;;244;247;sep
f;professional;town;yes;sev_a_year;5g;490;247;;;256;425;218;217;div
f;professional;town;yes;sev_a_year;10g;;248;;;251;248;;246;work
f;professional;town;yes;min_once_a_month;7g;;234;;;;206;239;235;child
f;general;town;yes;sev_a_year;7g;281;242;;;258;242;201;211;br
m;general;town;yes;never;4g;;259;;;;223;213;206;child
f;higher;town;yes;sev_a_year;6g;;319;;;325;;231;305;sep
m;higher;town;yes;min_once_a_month;8g;;253;;;263;209;278;;education
f;general;town;yes;min_once_a_month;3g;;235;;;;235;184;160;child
m;professional;town;no;never;5g;;338;;;;215;254;234;child
f;professional;town;yes;sev_a_year;5g;;317;;;;317;244;242;child
m;professional;town;yes;never;9g;311;;;;;222;213;249;child
m;higher;town;yes;never;2g;339;348;;;;348;284;237;child
f;general;town;yes;min_once_a_month;2g;;206;;;224;206;187;;education
f;professional;town;yes;sev_a_year;6g;;228;;;;183;182;205;child
m;professional;town;yes;never;3g;;363;;;371;215;177;;education
m;higher;town;yes;sev_a_year;9g;;276;;;282;209;322;271;div
f;higher;town;yes;sev_a_year;3g;;301;;;308;;215;308;sep
f;general;town;yes;sev_a_year;7g;;;;;250;;228;213;sep
m;professional;town;yes;never;5g;;253;;;268;215;211;;education
f;professional;town;yes;sev_a_year;4g;;285;;;;202;253;236;child
f;professional;town;yes;never;7g;;293;;;303;;215;213;sep
f;professional;town;yes;sev_a_year;8g;;222;;;;203;214;213;child
m;professional;town;yes;never;7g;;270;;;278;;231;231;sep
m;professional;town;yes;sev_a_year;6g;;272;;;293;;274;248;sep
f;professional;town;yes;sev_a_year;7g;;235;;436;244;163;290;220;partner
f;professional;town;yes;sev_a_year;6g;;231;;;;210;219;219;child
f;professional;town;yes;never;5g;;254;;;;254;234;209;child
f;professional;town;yes;sev_a_year;8g;;242;;;;209;232;231;child
f;professional;town;yes;min_once_a_month;5g;;295;;;;198;218;217;child
f;general;town;yes;never;2g;;216;;;225;216;220;;education
f;higher;town;yes;sev_a_year;4g;;269;;;;206;207;264;child
f;professional;town;yes;sev_a_year;5g;;234;;;;183;217;216;child
f;professional;town;yes;sev_a_year;3g;;228;;;257;228;193;;education
m;general;town;yes;never;4g;;328;;;;328;254;331;child
m;professional;town;yes;sev_a_year;3g;326;336;;;336;;221;221;sep
f;professional;town;yes;sev_a_year;3g;;276;;;;265;254;252;child
f;general;town;yes;sev_a_year;6g;;225;;321;239;225;188;235;partner
f;professional;town;yes;sev_a_year;6g;;277;;;303;;220;219;sep
m;professional;town;yes;never;6g;;250;;;257;259;241;;education
m;professional;town;yes;sev_a_year;4g;;276;;;283;276;215;;education
f;higher;town;yes;sev_a_year;8g;;302;;;;302;278;276;child
f;general;town;yes;sev_a_year;7g;;229;;319;234;189;189;224;partner
f;professional;town;yes;sev_a_year;6g;;242;;;266;209;231;;education
f;professional;town;yes;sev_a_year;10g;;237;;;244;237;;223;work
m;higher;town;yes;sev_a_year;9g;;283;;;303;210;212;;education
m;professional;town;yes;never;6g;;267;;;277;;246;218;sep
m;professional;village;no;never;8g;;;;;;216;245;220;child
f;professional;village;yes;sev_a_year;2g;707;291;;;305;291;249;247;br
f;professional;village;yes;never;9g;;215;;;219;215;;217;work
f;professional;village;yes;never;8g;;254;;;;254;227;225;child
m;general;village;yes;never;2g;;284;;;;251;198;281;child
m;professional;village;yes;never;1g;293;302;;;302;218;442;;education
f;professional;village;yes;never;11g;;;;;;210;232;232;child
f;professional;village;yes;sev_a_year;4g;;;;;213;182;;206;work
f;professional;village;yes;sev_a_year;1g;;286;;;303;286;231;;education
f;professional;village;yes;sev_a_year;2g;355;;;;365;237;233;348;marriage
f;professional;village;yes;never;8g;;260;;;;211;242;241;child
m;professional;village;yes;never;6g;;240;;;243;201;;246;work
m;higher;village;yes;never;4g;;282;;;293;;;291;sep
f;general;village;yes;sev_a_year;1g;570;215;;;199;215;221;151;br
f;professional;village;yes;sev_a_year;11g;;223;;;231;;;226;work
f;general;village;yes;sev_a_year;5g;;320;;;;320;267;195;child
f;professional;village;yes;sev_a_year;7g;;245;;;254;245;;291;work
f;higher;village;yes;sev_a_year;5g;;240;;;249;205;;262;work
f;professional;village;yes;sev_a_year;6g;;211;;;221;;232;278;sep
m;professional;village;yes;never;5g;;250;;;258;;253;212;sep
f;general;village;yes;once_a_week;1g;;237;;;;237;197;173;child
f;general;village;yes;sev_a_year;5g;;238;;;241;238;232;173;div
m;professional;village;yes;never;11g;254;261;;;;254;248;225;child
f;professional;village;yes;never;9g;366;367;385;;381;367;241;239;div
f;professional;village;yes;sev_a_year;6g;472;221;;414;230;213;221;222;br
f;general;village;yes;never;1g;;;;;;220;212;138;child
f;general;village;yes;sev_a_year;1g;246;;;;255;246;191;191;br
f;professional;village;yes;sev_a_year;4g;268;230;393;;241;;257;228;sep
f;professional;village;yes;sev_a_year;8g;;240;;;;212;212;221;child
f;professional;village;yes;never;9g;213;217;;;217;204;262;;education
f;professional;village;yes;never;2g;275;297;;;282;308;179;256;br
f;general;village;yes;sev_a_year;5g;364;250;;281;264;250;245;209;br
f;general;village;yes;sev_a_year;2g;;;;;;249;244;172;child
m;professional;village;yes;never;6g;282;;312;;291;514;186;218;marriage
f;professional;village;yes;never;5g;;244;;509;261;317;206;294;partner
m;higher;village;yes;never;4g;;281;;;412;262;294;;education
f;professional;village;yes;never;9g;;224;;319;234;248;222;221;partner
m;professional;village;yes;never;8g;;284;;;;284;263;237;child
f;professional;village;yes;never;9g;;;;;320;;272;270;sep
m;professional;village;yes;never;6g;;240;;;;196;258;231;child
m;professional;village;yes;never;6g;;259;;;;254;230;230;child
f;general;village;yes;sev_a_year;1g;;;;;;280;251;132;child
f;general;village;yes;sev_a_year;1g;;251;;;;256;192;157;child
f;general;village;yes;sev_a_year;1g;;;;;;281;201;153;child
m;professional;village;yes;never;8g;278;;;;283;301;243;283;marriage
m;general;village;yes;never;1g;;284;;;;302;136;169;child
m;professional;village;yes;never;5g;;288;;;;278;277;208;child
