partner;marriage;break;divorce;eductaion;work;sep_from_par;child;education_type;locality;religion;how_often;generation;gender
0;1;0;0;1;1;1;1;general;town;yes;sev_a_year;9g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;10g;f
0;1;0;0;1;1;1;1;higher;town;yes;sev_a_year;3g;f
1;0;1;0;1;1;1;1;professional;town;yes;never;9g;m
0;1;0;0;1;1;1;1;professional;town;yes;min_once_a_month;3g;f
0;1;0;0;1;1;1;1;higher;town;yes;never;7g;m
0;1;0;0;1;1;1;1;general;town;yes;never;2g;m
1;1;1;1;1;1;1;1;higher;town;yes;never;8g;m
0;1;0;0;1;1;1;1;general;town;yes;min_once_a_month;1g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;8g;m
0;1;0;0;1;1;1;1;professional;town;yes;never;7g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;8g;m
0;1;0;0;1;1;1;1;professional;town;yes;never;4g;m
0;0;0;0;1;1;1;1;general;town;yes;once_a_week;3g;f
0;1;0;0;1;1;1;1;general;town;yes;min_once_a_month;4g;f
0;0;0;0;1;1;1;1;higher;town;yes;sev_a_year;3g;f
0;0;0;0;1;1;1;1;general;town;yes;min_once_a_month;4g;f
1;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;2g;f
0;1;0;0;1;1;1;1;general;town;yes;never;8g;m
0;1;0;0;1;1;1;1;professional;town;yes;min_once_a_month;3g;f
1;1;0;1;1;1;1;1;professional;town;yes;sev_a_year;5g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;10g;f
0;1;0;0;1;1;1;1;professional;town;yes;min_once_a_month;7g;f
1;1;1;0;1;1;1;1;general;town;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;general;town;yes;never;4g;m
0;1;0;0;1;1;1;1;higher;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;higher;town;yes;min_once_a_month;8g;m
0;1;0;0;1;1;1;1;general;town;yes;min_once_a_month;3g;f
0;1;0;0;1;1;1;1;professional;town;no;never;5g;m
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;5g;f
1;0;0;0;1;1;1;1;professional;town;yes;never;9g;m
1;1;0;0;1;1;1;1;higher;town;yes;never;2g;m
0;1;0;0;1;1;1;1;general;town;yes;min_once_a_month;2g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;3g;m
0;1;0;1;1;1;1;1;higher;town;yes;sev_a_year;9g;m
0;1;0;0;1;1;1;1;higher;town;yes;sev_a_year;3g;f
0;1;0;0;1;1;1;1;general;town;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;5g;m
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;4g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;7g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;8g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;7g;m
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;6g;m
1;1;0;1;1;1;1;1;professional;town;yes;sev_a_year;7g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;professional;town;yes;never;5g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;8g;f
0;1;0;0;1;1;1;1;professional;town;yes;min_once_a_month;5g;f
0;1;0;0;1;1;1;1;general;town;yes;never;2g;f
0;1;0;0;1;1;1;1;higher;town;yes;sev_a_year;4g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;5g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;3g;f
0;1;0;0;1;1;1;1;general;town;yes;never;4g;m
1;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;3g;m
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;3g;f
1;1;0;1;1;1;1;1;general;town;yes;sev_a_year;6g;f
0;1;0;0;1;1;1;1;professional;town;yes;sev_a_year;6g;f
