partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner;marriage;break;divorce;eductaion;work;sep_from_par;child;partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
0;1;0;0;1;1;1;1;;216;;;219;337;216;227;>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;general;town;yes;sev_a_year;9g;f
0;1;0;0;1;1;1;1;;279;;;368;205;279;284;>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;sev_a_year;10g;f
0;1;0;0;1;1;1;1;;338;;;283;236;238;348;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;higher;town;yes;sev_a_year;3g;f
1;0;1;0;1;1;1;1;272;;314;;176;250;218;287;<;<;<;>;>;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;>;<;<;professional;town;yes;never;9g;m
0;1;0;0;1;1;1;1;;284;;;278;278;285;302;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;professional;town;yes;min_once_a_month;3g;f
0;1;0;0;1;1;1;1;;336;;;276;317;207;350;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;town;yes;never;7g;m
0;1;0;0;1;1;1;1;;353;;;221;221;223;360;>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;general;town;yes;never;2g;m
1;1;1;1;1;1;1;1;289;379;384;390;361;277;212;323;<;<;<;<;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;town;yes;never;8g;m
0;1;0;0;1;1;1;1;;286;;;160;230;286;297;>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;yes;min_once_a_month;1g;f
0;1;0;0;1;1;1;1;;277;;;224;241;278;282;>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;never;8g;m
