partner;marriage;break;divorce;eductaion;work;sep_from_par;child;education_type;locality;religion;how_often;generation;gender
;216;;;219;337;216;227;general;town;yes;sev_a_year;9g;f
;279;;;368;205;279;284;professional;town;yes;sev_a_year;10g;f
;338;;;283;236;238;348;higher;town;yes;sev_a_year;3g;f
272;;314;;176;250;218;287;professional;town;yes;never;9g;m
;284;;;278;278;285;302;professional;town;yes;min_once_a_month;3g;f
;336;;;276;317;207;350;higher;town;yes;never;7g;m
;353;;;221;221;223;360;general;town;yes;never;2g;m
289;379;384;390;361;277;212;323;higher;town;yes;never;8g;m
;286;;;160;230;286;297;general;town;yes;min_once_a_month;1g;f
;277;;;224;241;278;282;professional;town;yes;never;8g;m
;254;;;235;236;270;267;professional;town;yes;never;7g;f
;307;;;246;253;447;318;professional;town;yes;sev_a_year;6g;f
;255;;;207;208;241;272;professional;town;yes;never;8g;m
;237;;;232;266;293;288;professional;town;yes;never;4g;m
;;;;243;337;291;307;general;town;yes;once_a_week;3g;f
;213;;;207;216;213;217;general;town;yes;min_once_a_month;4g;f
;;;;301;244;264;269;higher;town;yes;sev_a_year;3g;f
;;;;221;188;188;261;general;town;yes;min_once_a_month;4g;f
266;271;;;260;260;214;270;professional;town;yes;sev_a_year;2g;f
;253;;;215;243;254;266;general;town;yes;never;8g;m
;258;;;247;244;292;269;professional;town;yes;min_once_a_month;3g;f
490;247;;651;217;218;425;256;professional;town;yes;sev_a_year;5g;f
;248;;;246;263;248;251;professional;town;yes;sev_a_year;10g;f
;234;;;235;239;206;248;professional;town;yes;min_once_a_month;7g;f
281;242;339;;211;201;242;258;general;town;yes;sev_a_year;7g;f
;259;;;206;213;223;269;general;town;yes;never;4g;m
;319;;;305;231;659;325;higher;town;yes;sev_a_year;6g;f
;253;;;279;278;209;263;higher;town;yes;min_once_a_month;8g;m
;235;;;160;184;235;243;general;town;yes;min_once_a_month;3g;f
;338;;;234;254;215;346;professional;town;no;never;5g;m
;317;;;242;244;317;359;professional;town;yes;sev_a_year;5g;f
311;;;;249;213;222;323;professional;town;yes;never;9g;m
339;348;;;237;284;348;350;higher;town;yes;never;2g;m
;206;;;320;187;206;224;general;town;yes;min_once_a_month;2g;f
;228;;;205;182;183;238;professional;town;yes;sev_a_year;6g;f
;363;;;377;177;215;371;professional;town;yes;never;3g;m
;276;;331;271;322;209;282;higher;town;yes;sev_a_year;9g;m
;301;;;308;215;313;308;higher;town;yes;sev_a_year;3g;f
;254;;;213;228;254;250;general;town;yes;sev_a_year;7g;f
;253;;;288;211;215;268;professional;town;yes;never;5g;m
;285;;;236;253;202;294;professional;town;yes;sev_a_year;4g;f
;293;;;213;215;306;303;professional;town;yes;never;7g;f
;222;;;213;214;203;227;professional;town;yes;sev_a_year;8g;f
;270;;;231;231;464;278;professional;town;yes;never;7g;m
;272;;;248;274;302;293;professional;town;yes;sev_a_year;6g;m
516;235;;436;220;290;163;244;professional;town;yes;sev_a_year;7g;f
;231;;;219;219;210;243;professional;town;yes;sev_a_year;6g;f
;254;;;209;234;254;263;professional;town;yes;never;5g;f
;242;;;231;232;209;252;professional;town;yes;sev_a_year;8g;f
;295;;;217;218;198;299;professional;town;yes;min_once_a_month;5g;f
;216;;;546;220;216;225;general;town;yes;never;2g;f
;269;;;264;207;206;291;higher;town;yes;sev_a_year;4g;f
;234;;;216;217;183;249;professional;town;yes;sev_a_year;5g;f
;228;;;300;193;228;257;professional;town;yes;sev_a_year;3g;f
;328;;;331;254;328;334;general;town;yes;never;4g;m
326;336;;;221;221;637;336;professional;town;yes;sev_a_year;3g;m
;276;;;252;254;265;286;professional;town;yes;sev_a_year;3g;f
386;225;;321;235;188;225;239;general;town;yes;sev_a_year;6g;f
;277;;;219;220;305;303;professional;town;yes;sev_a_year;6g;f
;250;;;284;241;259;257;professional;town;yes;never;6g;m
;276;;;294;215;276;283;professional;town;yes;sev_a_year;4g;m
;302;;;276;278;302;310;higher;town;yes;sev_a_year;8g;f
357;229;;319;224;189;189;234;general;town;yes;sev_a_year;7g;f
;242;;;304;231;209;266;professional;town;yes;sev_a_year;6g;f
;237;;;223;268;237;244;professional;town;yes;sev_a_year;10g;f
;283;;;353;212;210;303;higher;town;yes;sev_a_year;9g;m
;267;;;218;246;357;277;professional;town;yes;never;6g;m
;;;;220;245;216;268;professional;village;no;never;8g;m
707;291;855;;247;249;291;305;professional;village;yes;sev_a_year;2g;f
;215;;;217;220;215;219;professional;village;yes;never;9g;f
;254;;;225;227;254;266;professional;village;yes;never;8g;f
;284;;;281;198;251;290;general;village;yes;never;2g;m
293;302;;;443;442;218;302;professional;village;yes;never;1g;m
;;;;232;232;210;264;professional;village;yes;never;11g;f
;;;;206;305;182;213;professional;village;yes;sev_a_year;4g;f
;286;;;475;231;286;303;professional;village;yes;sev_a_year;1g;f
355;368;;;348;233;237;365;professional;village;yes;sev_a_year;2g;f
;260;;;241;242;211;274;professional;village;yes;never;8g;f
;240;;;246;272;201;243;professional;village;yes;never;6g;m
;282;;;291;294;294;293;higher;village;yes;never;4g;m
570;215;928;;151;221;215;199;general;village;yes;sev_a_year;1g;f
;223;;;226;284;;231;professional;village;yes;sev_a_year;11g;f
;320;;;195;267;320;331;general;village;yes;sev_a_year;5g;f
;245;;;291;353;245;254;professional;village;yes;sev_a_year;7g;f
