partner marriage;partner break;partner divorce;partner education;partner work;partner separation from parents;partner child;marriage break;marriage divorce;marriage education;marriage work;marriage separation from parents;marriage child;break divorce;break education;break work;break separation from parents;break child;divorce education;divorce work;divorce separation from parents;divorce child;education work;education separation from parents;education child;work separation from parents;work child;separation from parents child;education type;locality;religion;how often;generation;gender
>;n;n;>;>;>;>;<;<;<;<;=;<;n;>;>;>;>;>;>;>;>;<;>;<;>;>;<;general;town;yes;sev_a_year;9g;f
>;n;n;>;>;>;>;<;<;<;>;=;<;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;professional;town;yes;sev_a_year;10g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;>;>;<;<;<;<;higher;town;yes;sev_a_year;3g;f
<;<;<;>;>;>;<;>;n;>;>;>;>;<;>;>;>;>;>;>;>;>;<;<;<;>;<;<;professional;town;yes;never;9g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;professional;town;yes;min_once_a_month;3g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;higher;town;yes;never;7g;m
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;=;<;<;<;<;<;general;town;yes;never;2g;m
<;<;<;<;>;>;<;<;<;>;>;>;>;<;>;>;>;>;>;>;>;>;>;>;>;>;<;<;higher;town;yes;never;8g;m
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;yes;min_once_a_month;1g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;never;8g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;never;7g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;sev_a_year;6g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;professional;town;yes;never;8g;m
>;n;n;>;>;>;>;<;<;>;<;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;never;4g;m
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;<;<;<;>;>;<;general;town;yes;once_a_week;3g;f
>;n;n;>;>;>;>;<;<;>;<;=;<;n;>;>;>;>;>;>;>;>;<;<;<;>;<;<;general;town;yes;min_once_a_month;4g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;>;<;<;<;higher;town;yes;sev_a_year;3g;f
n;n;n;>;>;>;>;n;n;>;>;>;>;n;>;>;>;>;>;>;>;>;>;>;<;=;<;<;general;town;yes;min_once_a_month;4g;f
<;<;<;>;>;>;<;<;<;>;>;>;>;n;>;>;>;>;>;>;>;>;=;>;<;>;<;<;professional;town;yes;sev_a_year;2g;f
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;yes;never;8g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;professional;town;yes;min_once_a_month;3g;f
>;<;<;>;>;>;>;<;<;>;>;<;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;>;professional;town;yes;sev_a_year;5g;f
>;n;n;>;>;>;>;<;<;>;<;=;<;n;>;>;>;>;>;>;>;>;<;<;<;>;>;<;professional;town;yes;sev_a_year;10g;f
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;yes;min_once_a_month;7g;f
>;<;<;>;>;>;>;<;<;>;>;=;<;<;>;>;>;>;>;>;>;>;>;<;<;<;<;<;general;town;yes;sev_a_year;7g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;yes;never;4g;m
>;n;n;>;>;>;>;<;<;>;>;<;<;n;>;>;>;>;>;>;>;>;>;<;<;<;<;>;higher;town;yes;sev_a_year;6g;f
>;n;n;>;>;>;>;<;<;<;<;>;<;n;>;>;>;>;>;>;>;>;>;>;>;>;>;<;higher;town;yes;min_once_a_month;8g;m
>;n;n;>;>;>;>;<;<;>;>;=;<;n;>;>;>;>;>;>;>;>;<;<;<;<;<;<;general;town;yes;min_once_a_month;3g;f
>;n;n;>;>;>;>;<;<;>;>;>;<;n;>;>;>;>;>;>;>;>;<;>;<;>;<;<;professional;town;no;never;5g;m
